"","week","case_count","case_cumulative","seq_count","seq_cumulative","percent","log_cases","log_seq"
"68",2022-04-18,6158,751810,836,42028,13.58,13.5302389114337,10.6460913418087
"69",2022-04-25,6471,758281,880,42908,13.6,13.5388093083287,10.6668135677173
"70",2022-05-02,7891,766172,1021,43929,12.94,13.5491619665976,10.6903299732234
"71",2022-05-09,13288,779460,985,44914,7.41,13.5663566512178,10.7125048291385
"72",2022-05-16,18156,797616,803,45717,4.42,13.5893825576091,10.730225498958
"73",2022-05-23,8851,806467,673,46390,7.6,13.6004182581653,10.7448391977458
"74",2022-05-30,5465,811932,575,46965,10.52,13.6071718717947,10.7571579224286
"75",2022-06-06,4424,816356,604,47569,13.65,13.612605813316,10.7699365675531
"76",2022-06-13,4514,820870,373,47942,8.26,13.6181200324134,10.7777472259334
"77",2022-06-20,5304,826174,466,48408,8.79,13.6245606840718,10.7874203683022
"78",2022-06-27,6739,832913,440,48848,6.53,13.6326844739178,10.7964687149747
"79",2022-07-04,4838,837751,369,49217,7.63,13.6384761992724,10.8039943712545
"80",2022-07-11,4961,842712,440,49657,8.87,13.6443805416021,10.812894646444
"81",2022-07-18,5837,848549,520,50177,8.91,13.6512831109578,10.8233120333584
"82",2022-07-25,6033,854582,469,50646,7.77,13.6583677394849,10.8326155332118
"83",2022-08-01,5393,859975,472,51118,8.75,13.6646585980397,10.8418919646554
"84",2022-08-08,4940,864915,341,51459,6.9,13.6703865151897,10.8485406530779
"85",2022-08-15,4191,869106,406,51865,9.69,13.6752203760952,10.8563994678659
"86",2022-08-22,4188,873294,428,52293,10.22,13.680027547887,10.864617797883
"87",2022-08-29,4529,877823,434,52727,9.58,13.6852002577613,10.8728829372971
"88",2022-09-05,3771,881594,406,53133,10.77,13.68948691155,10.8805534831247
"89",2022-09-12,6794,888388,460,53593,6.77,13.6971638634821,10.8891737415154
"90",2022-09-19,4876,893264,156,53749,3.2,13.7026374488667,10.8920803411657
"91",2022-09-26,4809,898073,102,53851,2.12,13.7080066357398,10.8939762525142
"92",2022-10-03,4023,902096,3,53854,0.07,13.7124762235367,10.8940319602344
"93",2022-10-10,1592,903688,0,0,0,13.7142394470589,-Inf
