code	state	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	2021_EW13	2021_EW14	2021_EW15	2021_EW16	2021_EW17	2021_EW18	2021_EW19	2021_EW20	2021_EW21	2021_EW22	2021_EW23	2021_EW24	2021_EW25	2021_EW26	2021_EW27	2021_EW28	2021_EW29	2021_EW30	2021_EW31	2021_EW32	2021_EW33	2021_EW34	2021_EW35	2021_EW36	2021_EW37	2021_EW38	2021_EW39	2021_EW40	2021_EW41	2021_EW42	2021_EW43	2021_EW44	2021_EW45	2021_EW46	2021_EW47	2021_EW48	2021_EW49	2021_EW50	2021_EW51	2021_EW52	2022_EW01	2022_EW02	2022_EW03	2022_EW04	2022_EW05	2022_EW06	2022_EW07	2022_EW08	2022_EW09	2022_EW10	2022_EW11	2022_EW12	2022_EW13	2022_EW14	2022_EW15	2022_EW16	2022_EW17	2022_EW18	2022_EW19	2022_EW20	2022_EW21	2022_EW22	2022_EW23	2022_EW24	2022_EW25
LA	Louisiana	0	77	686	2552	9181	7518	3566	2932	2628	2277	2700	2808	2652	2909	3797	3221	5384	8520	13514	11787	15144	12546	12466	7991	4983	5224	5415	4750	4213	3830	3674	4580	4320	4877	4046	5066	10266	14728	13893	16575	17014	18243	14065	18776	26156	23422	15402	17021	12585	8724	3702	6305	4453	3437	3255	3332	2400	3369	3117	3586	3040	3192	3060	2982	2870	2296	2373	2099	2068	3039	4998	8387	16898	28836	32224	40873	35139	29881	17104	15674	13063	8887	7382	5423	4545	3757	2840	3378	2505	2976	1721	3738	3146	4733	9705	38322	79733	88195	63399	45251	28209	15752	7883	5420	2083	1382	1205	755	575	801	1024	1271	1664	2163	3346	5083	5611	6690	7921	6649	5863
MA	Massachusetts	72	223	1711	4893	8292	12147	15319	14880	12447	9898	7551	6059	3598	2481	1743	1330	1288	1145	1496	1585	1736	2094	2062	2008	2069	2284	2065	2344	2641	2869	4253	4037	4590	6558	9088	11000	16566	18013	18314	29548	33708	33545	30332	34579	42954	38591	30367	25267	19467	15068	11869	11916	10251	10685	12241	14699	15676	14346	13672	10320	8709	6261	4950	3306	1987	1157	896	518	384	400	692	1442	2908	4600	6615	8091	9249	10060	11789	11438	13931	11876	10770	9886	9826	9341	9270	9558	11801	17452	18972	26139	33745	35881	50049	85095	139314	146355	109703	62465	32011	18194	12550	8388	6173	4906	5264	6240	8184	9539	14469	13862	18872	22726	29480	30983	22785	16440	14652	11550	4389
MD	Maryland	3	24	169	802	2130	4569	4632	5440	6707	7061	6434	7527	6520	5467	3823	2651	2494	2891	3126	4739	5848	6311	5216	5112	3830	3771	4313	3926	4211	3228	3847	3976	4332	4360	5794	7634	11175	15881	14477	17936	19625	16745	16686	17731	20193	20667	15276	13419	9358	8052	5601	5535	5338	5971	6435	7693	8951	9587	9612	7492	5989	4351	2944	2413	1480	943	712	514	381	457	572	924	1612	2905	4568	5967	6895	7937	8314	7164	8668	8629	8467	7729	6793	5687	5268	4721	5451	6207	6286	9380	8877	16747	42790	74630	92933	82097	42099	21388	11742	6528	4537	4462	2781	2142	2104	1961	1860	3001	4129	5433	6613	8243	12162	16083	15403	12506	11488	10006	1388
ME	Maine	0	3	68	141	245	160	231	118	188	255	240	365	269	242	233	181	216	243	123	125	146	147	91	116	174	174	141	202	200	224	226	211	217	224	526	938	1191	1332	1165	1839	2493	3118	2809	3698	3774	4200	3379	2570	1897	1360	942	1126	1146	1224	1430	1360	1817	2275	3194	2673	2004	2135	1773	1339	795	497	386	253	170	135	121	256	429	558	843	1217	1138	1721	2688	2444	3396	3283	4276	3480	2785	3243	3292	3513	3373	4719	2626	4629	6879	6403	5380	4956	6640	7481	6041	7327	6785	6687	26073	12350	4600	1573	1403	1143	1419	1459	2369	1947	3047	5609	4166	4203	3514	1794	1739	1602	0
MI	Michigan	0	36	589	4265	9845	9765	7531	6758	6635	4252	4639	4731	3179	2689	922	1709	2134	2902	3789	4968	4284	5710	4859	5591	4262	5092	6055	5867	5029	6286	6898	8182	11652	14507	21794	31667	46719	53229	49131	48424	38583	30897	20270	21795	24432	19232	14961	13392	10547	8271	7313	9281	10522	14016	20982	32630	45192	51512	53296	38100	28375	21781	14383	10096	5506	2994	2051	1163	970	1256	1370	1687	2928	4746	7495	10029	12043	14036	16254	17238	21442	23008	26768	29611	30685	27308	28080	34552	37213	61551	38811	70095	50253	46563	31437	64747	145333	128398	140169	110955	59870	29804	18321	14793	7872	5961	6651	5649	5418	3759	7725	10474	14482	18945	27705	29267	25968	19535	18453	15578	0
MN	Minnesota	1	20	113	307	424	562	782	1237	2786	4558	4179	4876	4345	3311	2671	2295	2566	2591	3947	3899	4821	4897	4913	4312	4454	5390	5623	3708	5133	6938	7128	8041	10262	11032	16350	26482	41074	46924	41071	41258	30117	19237	11910	11287	16581	10634	8761	7011	6398	5574	5366	5633	5326	7279	7878	9560	12434	14010	14259	12151	10837	9435	6663	4705	2778	1323	1186	792	634	620	637	1227	1863	3314	5087	7063	8705	10634	11228	11078	15117	15569	17608	20856	19755	14845	17304	27458	26617	29578	24026	31702	29848	22504	16941	25988	41853	74181	78488	92931	49393	29343	16261	7835	5314	4058	2744	2657	2819	3136	4413	6221	8688	11408	15092	13816	12119	10742	11421	10169	1531
MO	Missouri	1	6	111	859	1652	1827	1328	1402	1434	1396	1074	1083	1227	1639	1179	1904	2813	3212	4287	5234	8366	10564	6366	9124	8136	8482	10260	9565	11056	11323	9630	13673	12053	13466	17420	24574	36685	31451	28322	30183	30266	26712	21078	25964	29230	22249	16608	15076	11842	7580	5728	5924	4217	3667	4339	4807	4037	4455	3908	4571	4554	4071	3103	3039	3175	2895	3974	4454	5466	6012	10089	13393	16755	17826	20031	19345	16828	16314	16191	14755	15323	12741	11007	9262	7763	6788	6661	7514	9544	19322	6971	22051	20205	20018	15642	32635	85701	86309	80483	61476	31905	19824	14031	7200	4539	3169	1973	5550	2601	4399	2489	3281	4452	4989	6052	8894	9040	9621	10923	10946	1442
MP	Northern Mariana Islands	0	0	0	0	8	3	3	0	0	1	4	3	0	4	4	0	0	1	0	6	1	4	5	3	4	0	3	2	3	7	4	2	5	8	4	6	2	3	1	2	7	2	7	0	3	3	1	3	1	1	1	8	1	3	10	2	0	1	2	2	4	1	3	9	2	0	0	0	0	0	2	2	1	2	16	8	10	10	9	7	8	8	4	7	5	8	17	43	34	73	235	490	592	547	498	468	311	307	303	564	1119	1462	958	1223	585	305	310	333	131	5	45	18	42	18	24	10	18	33	37	79	87
MS	Mississippi	0	6	134	523	792	1187	1332	1744	1723	1937	1745	1882	2224	1810	2309	1293	4890	5143	4745	6427	9135	8900	6765	5109	5513	4761	4449	3142	3467	3590	3490	4471	5368	5082	5072	5725	7455	9061	7539	13518	14489	14164	12912	15254	16591	14001	12154	11167	6588	5565	3899	3849	3230	3256	2100	1743	1571	1341	1697	1320	1551	1266	1544	1562	1135	782	926	833	889	1349	1871	2747	6376	10325	14644	22998	25102	21391	19223	13449	13101	9489	6314	5055	3519	3307	3221	2238	1913	2279	1884	2872	3611	3340	3047	18235	42810	48081	46754	36284	34196	24855	8811	3528	2152	1352	830	703	628	1103	524	492	735	1146	2806	2596	2715	3646	4495	5680	3462
MT	Montana	0	5	22	102	136	112	49	19	10	4	10	11	26	36	48	110	154	315	510	794	788	822	808	770	717	875	913	761	1238	1744	2449	3761	4108	4917	5659	6147	6938	8656	6303	6224	5575	3975	2814	2511	4158	2954	2354	2352	1955	1580	1344	1196	819	1070	1240	1131	938	1107	947	959	937	904	755	524	617	475	501	406	362	344	367	423	592	1111	1516	1982	2454	3298	3871	4228	5997	6323	5970	6675	5989	5898	5280	4605	3942	3619	2058	2165	1482	1046	905	2055	5139	9215	10015	16708	11228	6601	5092	4075	5233	611	464	292	224	228	265	375	493	616	515	1079	1305	0	3468	2089	0
NC	North Carolina	2	30	255	818	1530	1900	1989	2405	3000	3073	3752	4569	5413	6985	8574	8714	9727	11043	12713	14002	13633	12953	11147	9793	10869	11488	10318	8250	9321	9508	9112	12866	13973	14567	16343	16610	17873	23143	25697	30594	41224	42492	41662	44507	55918	53471	44890	39911	38894	27203	21372	18452	13628	10539	12548	10265	10631	13247	14287	13239	12820	10746	8840	6416	5400	3515	3029	2415	2230	2016	3076	5441	9053	16147	23061	36277	37480	44402	48097	42107	50992	38251	31474	24845	21819	16529	14104	12139	12148	13078	9199	20466	21725	22785	18324	79289	129713	194922	201450	162114	95376	55492	34059	23611	14610	10589	8261	7441	6201	3501	5234	8409	11605	14071	18479	23993	29137	27795	26785	24464	0
ND	North Dakota	0	1	27	66	113	101	276	283	324	297	407	445	238	283	219	207	205	322	518	680	851	778	938	988	1276	1823	1919	1948	2368	2749	2804	3692	4678	5976	7449	9476	9752	9094	6140	4556	3105	2098	1360	1552	1575	1332	949	807	682	664	678	530	583	595	667	943	1057	1105	1006	951	1000	773	620	491	333	265	232	135	103	74	124	153	229	439	663	983	1462	2031	2715	2988	3239	3679	4305	4157	3532	3329	3598	3428	3321	3394	2765	3420	2441	2258	2023	3333	7779	13180	16055	12027	7040	4056	2048	1121	719	479	290	223	208	263	251	379	441	655	782	882	1014	1191	1144	1028	303
NE	Nebraska	1	17	21	58	225	378	550	1470	2598	2776	2127	1786	1942	1667	1068	1067	1068	1052	1171	1483	1914	1996	1854	1996	1539	1973	2052	2315	2677	2799	3807	4484	5445	5883	7517	11663	14439	16195	12294	13245	9120	7727	5922	6925	7358	5290	5944	3716	2851	3606	1724	1969	1933	1811	1782	1872	3452	2440	2287	2283	1452	1315	988	549	420	254	234	194	240	456	489	690	978	1611	2619	1330	5093	5006	4822	5760	4707	4688	4604	4471	4144	3282	5790	4516	6824	6461	2791	8577	7931	5435	3780	7176	22064	23594	29141	22302	10435	4868	1940	968	22625	650	354	42	649	321	435	701	808	816	5264	3104	425	2354	3240	2681	1330
NH	New Hampshire	2	5	54	126	353	345	520	455	632	582	545	533	403	527	280	219	199	155	152	164	227	199	204	162	114	152	178	228	268	201	476	495	533	613	846	1130	1998	2882	3048	5225	5752	5243	4769	5483	5757	5234	4390	3660	2605	2496	2405	2005	1529	1624	1997	2429	2703	2998	2833	2263	1621	1338	1062	681	455	178	191	186	149	152	153	199	245	505	1005	1239	1670	1954	2188	2398	3211	3132	3309	3445	3839	3743	651	6883	5302	6187	4898	9863	8882	8600	6931	8680	15905	21326	21897	14697	8808	6891	5506	4032	1484	786	942	836	764	1214	1656	2117	2454	3306	3403	3754	3928	2237	1709	1366	601
NJ	New Jersey	4	65	1258	9797	23000	24027	23269	24078	18237	13729	7769	8150	6539	4392	2827	2381	2219	2391	2200	2191	2366	3477	2675	3299	2178	2272	2749	2933	3334	4056	5385	6035	7104	10451	13261	18648	26492	31734	31891	37664	39252	35313	35640	34478	38048	42839	35447	35007	25292	25984	20556	22592	23123	24457	28101	29495	31253	26707	25601	20493	11620	8964	2935	3297	2102	1806	1412	1931	1642	1433	1675	2715	4613	6237	8700	11607	13196	13624	14294	14885	15660	14770	12089	11962	10248	8321	8993	8841	10162	13661	14978	23888	30369	38771	91384	166888	218519	163894	79440	49109	21585	14859	11350	10084	8329	7117	6785	6664	8438	11057	14453	14906	18461	23947	32588	34421	33301	26054	23298	18679	6673
NM	New Mexico	0	13	42	153	298	585	707	862	1072	1046	1069	778	999	1176	821	809	1189	1444	1710	1963	2052	2008	1319	1187	1000	876	870	613	851	1180	1604	2426	3621	4697	5450	7181	9500	16269	14542	12874	11502	10572	8296	8153	9575	7939	5686	4960	3675	3075	2186	2413	1854	1425	1393	1327	1265	1216	1500	1353	1512	1600	1317	1218	953	651	572	654	592	425	537	937	1298	1929	3377	4776	5227	5713	5881	4496	4834	4068	5027	5128	4812	5136	6318	7533	9336	9859	6154	12429	9258	7012	5859	7394	19070	29826	38995	32579	19188	10815	6807	3460	2528	1853	1007	1035	745	990	892	1185	1311	1611	2197	3199	4531	4762	6238	6747	3057
