code	state	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	2021_EW13	2021_EW14	2021_EW15	2021_EW16	2021_EW17	2021_EW18	2021_EW19	2021_EW20	2021_EW21	2021_EW22	2021_EW23	2021_EW24	2021_EW25	2021_EW26	2021_EW27	2021_EW28	2021_EW29	2021_EW30	2021_EW31	2021_EW32	2021_EW33	2021_EW34	2021_EW35	2021_EW36	2021_EW37	2021_EW38	2021_EW39	2021_EW40	2021_EW41	2021_EW42	2021_EW43	2021_EW44	2021_EW45	2021_EW46	2021_EW47	2021_EW48	2021_EW49	2021_EW50	2021_EW51	2021_EW52	2022_EW01	2022_EW02	2022_EW03	2022_EW04	2022_EW05	2022_EW06	2022_EW07	2022_EW08	2022_EW09	2022_EW10	2022_EW11	2022_EW12	2022_EW13	2022_EW14	2022_EW15	2022_EW16	2022_EW17	2022_EW18	2022_EW19	2022_EW20	2022_EW21	2022_EW22	2022_EW23	2022_EW24	2022_EW25
NV	Nevada	2	18	141	465	1116	980	924	913	884	782	693	713	991	974	1506	1979	3363	5236	5263	7639	7339	7258	6345	5189	4461	3392	2641	2118	2199	2936	3353	3691	4253	5160	5949	7985	10260	12727	17496	16399	18321	17909	13795	13218	17438	13781	9623	7636	6042	4445	2835	2817	2472	3105	1886	1967	1998	2788	2531	2605	2598	2542	2559	1813	1396	1644	1748	1735	2739	3149	3309	5024	5947	7358	7173	7552	7574	7859	8036	7306	8203	6392	5833	4078	4258	4233	3318	5425	4105	4427	2807	4977	4428	4568	5070	10618	24831	39726	67460	33583	17123	8111	4023	4042	3959	2708	16412	1148	1158	1208	1140	1230	1937	2428	3183	4364	6187	7182	6744	9129	0
NY	New York	76	481	9853	41990	69305	70557	52107	43529	29276	19628	14177	11910	9584	7593	5038	4498	4659	4793	4823	5503	4937	4582	4278	4125	4241	4213	5256	5016	5627	5918	8734	10090	9810	11525	14029	18457	31703	35759	45483	61520	69545	73550	76236	87651	107619	109583	94445	85386	61603	61239	53895	50605	50953	47683	44358	62788	56279	51863	43307	33758	24993	18031	13570	10622	6810	4320	3575	2606	2186	2424	3526	5843	9626	15229	22690	28388	31615	29810	34749	33973	34826	35807	33800	34502	32364	27946	25768	28737	36766	43628	44748	59117	68702	96127	167569	415674	539437	403723	214490	115555	54379	36545	24353	15738	12793	11464	14947	16136	25598	30379	40879	44484	49526	60934	51081	82662	51635	52439	39611	38087	15597
OH	Ohio	0	26	221	1159	2333	2511	3972	5365	3748	4362	3777	3934	3625	3078	2740	3410	5194	6728	8031	9607	9363	8903	7882	7705	6491	7155	8465	6783	6979	6462	7957	9492	12767	15581	19891	30030	44516	53043	63417	60729	86029	60968	50239	50005	56304	50530	38334	32940	25298	19462	14765	13848	11582	10562	10521	11784	13408	13589	14499	11334	10586	8796	7461	6341	4940	2823	2416	1940	1810	1743	1747	2772	4801	7668	11640	16865	21010	29140	39705	46525	48615	42972	40551	35632	32228	25144	23607	24923	33026	38210	34426	52173	50770	63062	71490	105104	154044	187851	138253	74778	37034	22791	13083	8705	6504	4380	2512	3668	3103	3828	4808	6890	8731	11013	15970	19536	19546	17530	18247	16169	0
OK	Oklahoma	1	3	49	324	784	707	597	729	657	639	747	723	458	641	1014	1965	2608	3002	4131	5278	5024	7650	5349	4718	4801	4754	5834	5472	7145	7706	7238	7873	7847	9217	7077	8989	18454	20719	22900	19421	20098	22598	20739	19663	28934	26868	18606	16556	15283	10611	6097	5545	4792	3533	2579	2559	2241	3552	2058	1687	1755	1343	1199	983	947	775	842	1141	1375	1573	2199	3925	6569	9459	13348	14851	15542	18036	18438	16462	14762	12317	10826	7563	9092	7085	5021	4231	4522	5869	3620	8200	9634	5852	8304	14728	28655	73796	82524	69742	31891	11300	6441	6202	4982	2179	2984	1814	1810	2875	1596	1686	1567	1655	2231	2348	1772	4570	4739	3495	1994
OR	Oregon	6	30	101	342	420	472	473	409	382	525	452	276	297	385	807	1373	1344	1836	1921	2298	2343	2325	2193	2008	1692	1583	1563	1300	1443	1982	1930	2413	2391	2424	3182	4666	6431	7650	8838	10737	9596	8975	6512	8022	8128	7936	5188	4816	4325	3293	2677	2604	1764	2323	1918	2382	2778	3605	4416	5429	5667	5207	4375	3177	2649	1990	1871	1715	1418	1038	1193	1768	2871	4886	7144	11564	14514	15424	15472	12952	13016	11149	10719	9404	7653	8760	7527	7084	6037	5888	3423	7084	5619	5104	5273	10698	38437	53691	57501	49760	33691	20157	11453	6308	4456	2645	1836	1552	1765	2172	2899	4760	6965	8101	9418	10891	11082	9390	10934	10153	4272
PA	Pennsylvania	2	45	352	2446	7347	11846	9633	9789	9535	7467	6582	5515	4556	3770	3337	2798	3802	4543	5269	5623	6514	6274	5193	5824	4701	4448	5913	5318	5868	5757	7255	8564	9992	11970	15603	20271	32659	43551	49216	60513	70190	67409	55591	52115	56854	48527	38117	39213	26768	25720	19199	18448	17542	17541	20664	25451	30415	30238	35220	27633	23410	18405	13127	9981	6881	4352	3175	2026	1404	1227	1360	2329	3667	6245	10198	13089	17491	21831	25073	27863	32936	32595	31944	36694	31928	28846	27310	28650	34041	40158	40991	51317	56291	53677	64621	111964	180936	184907	134711	89080	47995	29269	20357	12978	7303	6303	5117	4193	4181	5917	8131	10109	13235	8808	21316	27317	29664	24862	22564	20281	0
PR	Puerto Rico	0	0	21	79	352	336	330	226	94	60	79	116	69	62	110	71	71	215	618	1026	1581	1501	2030	2496	2213	1704	1257	1355	2209	2357	2640	1754	1735	2779	3066	3352	4282	4662	5147	3951	6191	5488	5232	5489	4698	3893	3550	3333	1949	1958	1522	1209	1283	1475	1419	1672	3514	4790	7504	6758	4119	2693	1384	1108	816	425	360	349	243	275	477	960	2238	2895	4703	6093	6198	5600	4422	2876	2187	1644	1074	1233	978	732	668	795	880	871	576	776	711	3736	32162	47008	74434	60383	31259	16642	8280	4883	3162	1892	1449	1195	1566	1879	2396	4236	5106	21622	24707	30742	29813	34450	30467	25173	24593	21282	8791
RI	Rhode Island	3	19	46	173	567	1543	2142	2638	2160	1700	1445	1518	867	622	506	390	324	330	321	481	431	798	716	597	687	661	560	662	715	691	895	1218	1397	2427	2756	3506	5149	6472	5953	8183	8681	6994	4254	5883	9665	6829	5292	4703	3453	2930	2324	2477	2499	2381	2537	2736	2480	2842	3052	2175	1862	1391	829	873	485	249	221	170	131	129	105	242	476	892	1486	1764	2121	1991	2041	2107	2600	3511	2019	1851	1835	1593	1407	1674	2178	3130	2174	6297	6417	7478	8475	13868	34970	36043	25000	14298	6494	3943	2201	1464	1274	1019	1262	1108	1336	1864	2508	2366	3383	4268	5374	5812	4192	3298	2614	2095	886
SC	South Carolina	2	20	155	486	1257	1294	1037	1012	1236	1042	1130	1234	1499	2144	4417	5801	8183	11447	11313	12913	12396	10591	8861	6422	5413	5954	7040	5689	7262	8033	5618	5730	6593	6127	7271	8130	9272	11004	9893	14324	19563	21739	18355	23826	37366	32338	31367	25996	23196	20159	18137	13795	9385	8092	7841	7724	7160	6499	6485	5968	5330	4440	4114	2535	2267	1036	857	643	696	1117	1657	2885	5030	10315	17162	22003	25346	32606	38113	31674	35152	22396	18769	13644	9969	7090	6080	5177	4616	4679	4082	6038	7355	7130	8367	30746	72932	104873	112585	89406	51817	24134	18570	9433	3776	2281	612	1376	1025	1566	891	1496	2181	6146	4630	5753	8034	9205	9456	10348	10621
SD	South Dakota	0	9	6	54	144	414	916	605	441	805	566	505	496	407	466	392	401	402	426	408	443	562	610	641	1017	1807	1947	1548	2007	2689	2853	3961	4664	5530	7851	7984	10206	8032	6885	6205	5103	3929	2627	2866	3072	2377	1685	1107	1062	1073	960	1128	1085	1115	1230	1358	1280	1344	1351	930	674	573	411	267	251	99	82	54	103	96	60	112	196	265	374	1150	1548	2479	3079	2917	3184	2844	2674	2346	2176	2312	2174	2513	2348	3032	1917	3979	2977	2407	2022	3527	10207	13726	13519	8727	4857	2485	2236	826	489	326	243	110	154	137	124	165	277	373	450	475	594	653	969	972	0
TN	Tennessee	1	31	272	1207	1837	1817	1669	2535	3444	1959	2529	2591	2775	3412	3618	4559	5369	10196	10937	15330	15302	15300	12527	11290	10699	9433	10872	7867	11370	9080	8322	13097	13763	17839	14548	19114	26959	28981	27219	33734	48737	65624	46898	44706	43881	33803	23860	18482	17252	13419	8023	9925	8304	8724	8667	7756	8266	7712	11092	7411	6694	5586	4655	3495	2515	1924	1520	1351	1270	1807	2829	4527	8540	15365	22402	30477	41683	41814	49349	65757	37992	26369	21561	16092	12412	9530	7117	6809	8229	9477	7293	12882	12557	13898	27507	65471	93602	113004	117598	96069	71633	34804	21995	11548	6732	3256	2105	1713	1693	1975	2172	2801	3595	4834	6526	8992	10474	11275	13059	12669	6590
TX	Texas	8	52	522	1873	2936	4463	3875	4821	6996	7249	7423	5992	6565	16922	14311	24181	37134	44374	61936	60489	57893	54124	69458	77361	41939	36252	25309	25867	35783	31764	29198	22619	27449	37683	47461	42770	60772	79861	95761	98244	98065	124437	129512	163138	161305	159009	131401	120181	127641	76344	30490	56592	43656	31890	27424	26486	22145	24287	23563	23278	23775	16981	15545	12075	12002	9285	14433	8141	8847	10030	12373	20714	35576	62984	93601	99501	121940	107094	131087	121606	116754	79565	68888	53321	42985	30500	29041	21561	22941	23289	16866	31448	31731	36203	80106	142538	371815	424635	433584	295501	198757	109990	65521	36814	26520	31965	18744	37227	19762	33866	13809	23263	17549	21015	24092	26798	29595	46946	47582	48073	24426
UT	Utah	1	9	108	484	826	779	710	1031	1037	1118	965	1192	1273	2265	2183	3087	3560	3914	4313	4477	4291	3079	3049	2570	2493	2592	2866	2975	5605	6695	6678	8419	8653	9820	11539	15579	20906	22838	18108	20757	18977	17149	15108	17576	22069	18529	12637	10541	8270	6884	5450	4736	3668	3545	3271	2919	2824	2763	2749	2641	2583	2387	2205	1921	1605	1568	1945	1997	2307	2442	2866	3643	3799	6049	6012	5906	7270	8220	9554	10550	11006	9713	9511	9981	8957	9748	10987	10722	10903	11422	9201	9822	8729	7016	6006	13289	45044	68298	75655	49262	23016	12633	7322	3734	2292	1271	923	854	626	699	740	1197	1695	3226	3385	4504	5611	5728	7502	6522	0
VA	Virginia	0	37	120	583	1667	2670	2976	4313	5372	5458	6487	6066	7862	5786	4472	3574	3804	3862	4673	6591	7236	7192	8388	6561	6322	6737	6918	7141	6787	5753	5395	7102	7333	7134	8818	9683	9926	14880	17938	17556	27442	24357	26605	29178	34960	35676	39264	33566	23955	21248	14388	12502	10223	9025	10183	10229	9907	10444	10503	8498	7227	5558	3793	2889	2372	1421	1085	924	1465	1076	1529	2066	3801	6084	10280	13162	16253	20573	23515	23660	25370	22840	19463	18831	14779	11817	10016	8771	9295	10623	10279	12860	17470	19321	35946	69182	102518	130381	100296	73890	46419	30655	20008	13825	9281	7421	6498	5372	4668	6095	7422	8001	10190	14020	17710	22102	22523	19887	20114	17777	8722
VI	Virgin Islands	0	0	6	16	18	11	2	2	11	2	1	0	0	2	1	1	8	30	56	116	69	69	107	206	226	158	49	44	46	60	10	4	10	11	30	14	44	57	47	95	158	130	58	62	102	109	89	80	45	58	55	67	89	32	85	55	24	40	57	52	58	98	57	41	134	149	99	78	76	72	117	153	189	254	331	335	310	169	252	224	208	173	180	139	124	60	70	86	54	95	51	40	68	42	367	2099	2435	980	877	404	222	158	101	112	31	130	22	33	45	108	118	209	258	818	870	817	678	551	328	214	44
VT	Vermont	0	5	44	162	250	250	92	40	43	35	14	20	23	69	79	23	53	38	45	55	58	25	33	55	44	52	42	30	33	29	39	79	69	117	136	168	496	703	487	861	732	717	623	723	1101	1125	993	923	935	795	798	739	866	734	857	1068	1282	1060	904	610	553	413	402	237	116	52	68	40	32	27	38	93	126	213	431	720	884	911	1049	1050	1427	1429	1291	1378	1610	1504	1350	1985	2582	2406	1224	4075	3122	2930	2018	4182	11974	11683	9890	5555	3141	2279	1710	1344	1084	841	920	981	951	1191	1622	1921	2308	2257	2372	1383	1606	1216	993	746	0
WA	Washington	102	540	1190	2237	3217	3187	1342	1543	1684	1671	1614	977	2084	2418	2058	2851	3090	4136	4770	6284	5713	5547	4973	4392	3890	3414	3094	2759	2884	3897	3771	4249	4566	4964	5739	9413	13170	14538	19302	15850	25636	13883	14119	10033	24843	14375	14228	11399	8549	7901	5747	5979	4759	4893	5357	6333	7288	7827	9319	9763	9397	9271	8685	4829	8355	4208	4109	3037	3201	2079	2620	4964	6168	6841	15564	18654	21159	22535	24502	22242	23020	19744	20414	17085	17021	15495	14924	12263	12779	11641	6033	12684	9577	9917	13412	35334	81996	110385	110570	142662	73266	42833	62	8452	12737	7679	7309	6004	5037	10795	7489	8784	14784	12169	22365	22526	20695	18003	19139	17590	0
WI	Wisconsin	0	27	255	773	975	1183	986	1488	1973	2279	2248	2690	3353	2341	1947	2021	2747	3769	4624	5806	6385	6132	5931	5123	4953	4791	5500	7303	11959	14083	17153	16762	18626	38953	32730	39634	46101	48615	32780	32919	28073	24688	15343	17630	24482	18141	13728	10994	9019	6635	5138	5097	4389	3770	3924	4694	4927	6311	6048	5112	5148	4633	3585	2839	1737	1147	925	598	579	607	745	1222	2251	5121	8047	9612	9743	12753	13882	12737	17900	21938	20377	20870	20150	12305	14945	17190	21574	24494	22576	29397	26406	30097	29251	37221	65403	111546	148595	57213	31984	18147	10830	6079	4121	3078	2654	2502	2953	4437	4735	6504	9157	12486	16278	15443	14784	13672	12613	10766	5548
WV	West Virginia	0	0	12	84	186	295	208	225	175	142	147	235	284	147	138	226	282	423	941	748	881	963	825	899	723	785	1323	1235	1361	1278	1314	1446	1878	1911	2744	3149	5183	6806	6247	7727	8579	9064	8962	9150	10451	8346	6628	5588	3850	3092	2082	2216	1710	1859	2329	2838	2790	2648	2763	2551	2430	2503	2229	1505	1552	945	707	443	422	345	316	468	769	1314	2146	2835	5536	8760	10191	11561	13468	11913	10245	8396	7518	6294	5992	5262	5272	6097	2407	8918	6725	7338	5145	9127	27710	27086	30673	28575	19640	12866	7106	6541	3917	2599	1534	821	634	550	476	906	1408	1726	2598	3723	4702	4108	4000	3025	2351
WY	Wyoming	0	2	21	59	105	74	48	182	88	74	88	72	85	41	111	129	213	214	233	269	338	323	246	220	316	260	195	307	484	684	900	1090	1361	1989	2493	3299	5284	5529	4518	4013	2966	2581	1658	1427	2146	2349	1515	1121	914	468	597	667	414	399	418	465	401	426	394	429	446	481	456	582	483	484	486	376	461	494	521	557	728	876	1326	1819	2399	2796	3739	3437	3315	3908	3303	3134	2834	3037	2752	2392	2165	1835	946	1548	1050	722	658	1396	4219	6611	8901	9157	5316	2739	1501	827	517	318	163	149	111	114	0	134	158	195	286	378	452	611	1435	2253	1180
